,id,review_scores_cleanliness,review_scores_checkin,review_scores_location
0,13913,4.89,4.86,4.75
1,15400,4.88,4.87,4.93
2,284532,4.03,4.72,4.72
3,106332,4.71,4.93,4.92
4,17402,4.69,4.69,4.88
5,107048,4.88,4.8,4.83
6,107051,4.9,4.97,4.98
7,284603,5.0,5.0,5.0
8,24328,4.91,4.9,4.59
9,286675,4.9,4.99,4.75
10,116268,4.88,5.0,4.72
11,25123,4.94,4.91,4.45
12,117203,4.9,4.79,4.53
13,127860,,,
14,288828,,,
15,289422,4.91,5.0,4.53
16,31361,4.77,4.98,4.48
17,289802,4.95,5.0,4.59
18,33332,4.58,4.58,4.68
19,290233,,,
20,290923,4.47,4.94,4.88
21,131444,4.82,4.89,4.73
22,36299,4.8,4.94,4.91
23,137581,4.89,4.97,4.92
24,291731,5.0,5.0,4.0
25,36660,4.84,4.95,4.77
26,137907,4.92,4.85,4.87
27,38605,4.79,4.89,4.53
28,142117,4.84,4.93,4.83
29,294177,4.29,4.56,4.11
30,38610,4.59,5.0,4.76
31,294247,4.52,4.74,4.27
32,38950,5.0,5.0,5.0
33,143028,4.6,5.0,4.4
34,39387,3.6,4.8,4.5
35,143478,4.57,4.87,4.91
36,294887,4.94,4.98,4.83
37,40228,,,
38,296720,,,
39,145612,4.67,4.92,4.6
40,41311,4.97,4.92,4.51
41,298246,,,
42,41445,4.26,4.84,4.53
43,299374,4.51,4.82,4.53
44,152863,4.5,4.83,4.67
45,154221,5.0,5.0,5.0
46,41509,4.29,4.74,4.84
47,157536,4.72,4.95,4.5
48,300723,4.64,4.88,4.66
49,41712,4.89,4.76,4.86
50,301631,,,
51,157714,4.79,4.85,4.78
52,41870,5.0,4.0,4.0
53,42010,4.82,4.96,4.72
54,159736,4.67,4.75,4.33
55,42692,,,
56,302760,,,
57,43129,4.73,4.9,4.65
58,43202,4.8,4.91,4.61
59,304918,4.85,4.87,4.87
60,165336,4.77,4.96,4.87
61,43742,5.0,5.0,5.0
62,166760,4.65,4.81,4.73
63,305573,4.07,4.86,4.64
64,45163,5.0,5.0,5.0
65,306405,4.0,4.0,3.0
66,306677,4.64,4.72,4.41
67,168348,4.96,4.94,4.91
68,168359,4.63,4.88,4.13
69,45168,4.7,4.95,4.94
70,46992,4.91,4.89,4.66
71,306737,4.62,4.92,4.96
72,47192,4.96,4.9,4.75
73,47687,4.82,4.77,4.81
74,307923,4.85,4.94,4.72
75,168875,,,
76,170702,4.98,4.94,4.79
77,49970,4.75,4.88,4.77
78,51830,4.58,4.88,4.86
79,172629,4.99,4.96,4.92
80,172807,4.81,4.88,4.88
81,172811,,,
82,308005,4.89,4.87,4.93
83,308640,4.5,4.93,4.7
84,55402,4.5,5.0,5.0
85,310665,4.89,5.0,4.83
86,55706,4.94,4.95,4.87
87,310724,4.75,4.93,4.83
88,174132,4.78,4.74,4.88
89,56229,4.75,4.85,4.91
90,179312,5.0,5.0,5.0
91,62747,4.52,4.81,4.69
92,310949,4.97,4.94,4.6
93,62970,4.66,4.84,4.66
94,311430,4.74,5.0,4.91
95,182802,4.87,4.92,4.78
96,183128,4.97,4.99,4.82
97,63948,4.66,4.82,4.92
98,186682,4.74,4.9,4.73
99,311768,4.71,4.91,4.31
100,312761,4.93,4.97,4.89
101,65908,,,
102,313710,4.89,4.89,4.56
103,189002,4.25,5.0,4.25
104,190015,4.41,4.71,4.71
105,66772,4.82,4.9,4.92
106,314066,4.49,4.89,4.5
107,69198,4.77,4.62,4.62
108,314164,4.56,4.78,4.78
109,314985,4.33,5.0,4.17
110,315238,4.5,4.9,4.87
111,190028,4.94,5.0,4.84
112,70482,5.0,5.0,5.0
113,198258,4.24,4.79,4.42
114,198279,4.55,4.8,4.53
115,315658,4.75,4.77,4.56
116,316483,5.0,5.0,5.0
117,318287,4.89,4.86,4.45
118,71875,4.82,4.68,4.95
119,318986,,,
120,200713,4.34,4.63,4.14
121,201463,4.35,4.64,4.54
122,202422,4.4,4.8,4.87
123,320629,4.75,4.92,4.89
124,72913,4.83,4.96,4.69
125,321411,4.75,4.9,4.95
126,203163,4.9,4.96,4.87
127,73125,4.93,4.89,4.78
128,207912,4.86,4.83,4.58
129,208952,,,
130,322606,4.03,4.6,4.59
131,73431,4.99,4.94,4.76
132,323473,4.8,4.88,4.92
133,210010,5.0,5.0,5.0
